"Coordinate" "plate.name" "Time" "OD600" "Strain" "Condition" "Bio_Rep"
"B10" "A6" 1920 0.0313 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"B11" "A6" 1920 0.0969 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"C2" "A6" 1920 0.0518 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"C3" "A6" 1920 0.0749 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"C4" "A6" 1920 0.0686 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"C5" "A6" 1920 0.0972 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"C6" "A6" 1920 0.0935 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"C7" "A6" 1920 0.129 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"C8" "A6" 1920 0.0487 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"C9" "A6" 1920 0.0989 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"C10" "A6" 1920 0.0922 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"C11" "A6" 1920 0.1286 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"D2" "A6" 1920 0.0656 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"D3" "A6" 1920 0.0627 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"D4" "A6" 1920 0.0944 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"D5" "A6" 1920 0.0875 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"D6" "A6" 1920 0.0912 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"D7" "A6" 1920 0.1238 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"D8" "A6" 1920 0.1312 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"D9" "A6" 1920 0.152 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"D10" "A6" 1920 0.0945 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"D11" "A6" 1920 0.1317 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"E2" "A6" 1920 0.0874 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"E3" "A6" 1920 0.0739 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"E4" "A6" 1920 0.0633 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"E5" "A6" 1920 0.1234 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"E6" "A6" 1920 0.1168 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"E7" "A6" 1920 0.0927 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"E8" "A6" 1920 0.1241 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"E9" "A6" 1920 0.1418 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"E10" "A6" 1920 0.1615 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"E11" "A6" 1920 0.1329 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"F2" "A6" 1920 0.095 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"F3" "A6" 1920 0.0663 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"F4" "A6" 1920 0.0806 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"F5" "A6" 1920 0.0617 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"F6" "A6" 1920 0.1131 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"F7" "A6" 1920 0.1535 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"F8" "A6" 1920 0.1279 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"F9" "A6" 1920 0.0845 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"F10" "A6" 1920 0.0972 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"F11" "A6" 1920 0.0571 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"G2" "A6" 1920 0.1258 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"G3" "A6" 1920 0.0945 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"G4" "A6" 1920 0.0678 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"G5" "A6" 1920 0.0948 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"G6" "A6" 1920 0.0961 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"G7" "A6" 1920 0.0731 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"G8" "A6" 1920 0.0734 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"G9" "A6" 1920 0.1397 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"G10" "A6" 1920 0.1515 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"G11" "A6" 1920 0.1505 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"B2" "A6" 1980 0.0195 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"B3" "A6" 1980 0.0722 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"B4" "A6" 1980 0.0123 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"B5" "A6" 1980 0.0279 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"B6" "A6" 1980 0.0831 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"B7" "A6" 1980 0.1231 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"B8" "A6" 1980 0.0237 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"B9" "A6" 1980 0.0775 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"B10" "A6" 1980 0.0309 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"B11" "A6" 1980 0.0972 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"C2" "A6" 1980 0.0516 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"C3" "A6" 1980 0.0755 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"C4" "A6" 1980 0.0716 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"C5" "A6" 1980 0.1002 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"C6" "A6" 1980 0.0957 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"C7" "A6" 1980 0.1318 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"C8" "A6" 1980 0.0482 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"C9" "A6" 1980 0.0974 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"C10" "A6" 1980 0.0933 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"C11" "A6" 1980 0.1288 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"D2" "A6" 1980 0.0653 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"D3" "A6" 1980 0.0614 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"D4" "A6" 1980 0.094 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"D5" "A6" 1980 0.0881 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"D6" "A6" 1980 0.091 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"D7" "A6" 1980 0.1234 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"D8" "A6" 1980 0.1313 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"D9" "A6" 1980 0.1529 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"D10" "A6" 1980 0.0959 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"D11" "A6" 1980 0.132 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"E2" "A6" 1980 0.0864 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"E3" "A6" 1980 0.073 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"E4" "A6" 1980 0.0647 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"E5" "A6" 1980 0.1221 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"E6" "A6" 1980 0.1173 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"E7" "A6" 1980 0.0923 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"E8" "A6" 1980 0.1235 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"E9" "A6" 1980 0.1422 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"E10" "A6" 1980 0.1615 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"E11" "A6" 1980 0.1328 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"F2" "A6" 1980 0.094 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"F3" "A6" 1980 0.0672 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"F4" "A6" 1980 0.081 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"F5" "A6" 1980 0.0598 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"F6" "A6" 1980 0.1127 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"F7" "A6" 1980 0.1533 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"F8" "A6" 1980 0.1277 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"F9" "A6" 1980 0.0833 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"F10" "A6" 1980 0.0963 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"F11" "A6" 1980 0.0563 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"G2" "A6" 1980 0.1249 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"G3" "A6" 1980 0.0943 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"G4" "A6" 1980 0.0673 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"G5" "A6" 1980 0.0928 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"G6" "A6" 1980 0.0949 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"G7" "A6" 1980 0.0725 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"G8" "A6" 1980 0.0733 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"G9" "A6" 1980 0.1386 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"G10" "A6" 1980 0.1516 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"G11" "A6" 1980 0.1509 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"B2" "A6" 2040 0.0205 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"B3" "A6" 2040 0.0736 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"B4" "A6" 2040 0.0127 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"B5" "A6" 2040 0.0293 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"B6" "A6" 2040 0.0836 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"B7" "A6" 2040 0.1226 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"B8" "A6" 2040 0.0232 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"B9" "A6" 2040 0.078 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"B10" "A6" 2040 0.0313 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"B11" "A6" 2040 0.0981 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"C2" "A6" 2040 0.0523 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"C3" "A6" 2040 0.0767 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"C4" "A6" 2040 0.0735 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"C5" "A6" 2040 0.1021 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"C6" "A6" 2040 0.0966 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"C7" "A6" 2040 0.1332 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"C8" "A6" 2040 0.0487 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"C9" "A6" 2040 0.0969 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"C10" "A6" 2040 0.0944 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"C11" "A6" 2040 0.1291 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"D2" "A6" 2040 0.0655 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"D3" "A6" 2040 0.0609 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"D4" "A6" 2040 0.0935 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"D5" "A6" 2040 0.0886 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"D6" "A6" 2040 0.0907 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"D7" "A6" 2040 0.1228 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"D8" "A6" 2040 0.1317 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"D9" "A6" 2040 0.1547 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"D10" "A6" 2040 0.097 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"D11" "A6" 2040 0.1324 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"E2" "A6" 2040 0.0873 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"E3" "A6" 2040 0.0741 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"E4" "A6" 2040 0.0658 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"E5" "A6" 2040 0.1216 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"E6" "A6" 2040 0.1166 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"E7" "A6" 2040 0.093 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"E8" "A6" 2040 0.1233 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"E9" "A6" 2040 0.1427 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"E10" "A6" 2040 0.1612 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"E11" "A6" 2040 0.1329 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"F2" "A6" 2040 0.0936 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"F3" "A6" 2040 0.0685 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"F4" "A6" 2040 0.0817 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"F5" "A6" 2040 0.0592 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"F6" "A6" 2040 0.1125 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"F7" "A6" 2040 0.1536 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"F8" "A6" 2040 0.1276 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"F9" "A6" 2040 0.0824 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"F10" "A6" 2040 0.0963 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"F11" "A6" 2040 0.0562 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"G2" "A6" 2040 0.1244 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"G3" "A6" 2040 0.094 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"G4" "A6" 2040 0.0672 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"G5" "A6" 2040 0.0912 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"G6" "A6" 2040 0.0948 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"G7" "A6" 2040 0.0717 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"G8" "A6" 2040 0.0733 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"G9" "A6" 2040 0.1373 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"G10" "A6" 2040 0.1513 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"G11" "A6" 2040 0.1511 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"B2" "A6" 2100 0.0215 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"B3" "A6" 2100 0.0743 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"B4" "A6" 2100 0.0132 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"B5" "A6" 2100 0.0302 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"B6" "A6" 2100 0.0839 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"B7" "A6" 2100 0.1225 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"B8" "A6" 2100 0.0232 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"B9" "A6" 2100 0.0784 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"B10" "A6" 2100 0.0317 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"B11" "A6" 2100 0.0987 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"C2" "A6" 2100 0.0531 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"C3" "A6" 2100 0.0781 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"C4" "A6" 2100 0.0744 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"C5" "A6" 2100 0.1024 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"C6" "A6" 2100 0.0975 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"C7" "A6" 2100 0.1338 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"C8" "A6" 2100 0.0501 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"C9" "A6" 2100 0.0975 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"C10" "A6" 2100 0.0949 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"C11" "A6" 2100 0.1295 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"D2" "A6" 2100 0.0666 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"D3" "A6" 2100 0.0611 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"D4" "A6" 2100 0.0941 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"D5" "A6" 2100 0.0892 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"D6" "A6" 2100 0.0906 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"D7" "A6" 2100 0.1227 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"D8" "A6" 2100 0.1317 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"D9" "A6" 2100 0.1555 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"D10" "A6" 2100 0.098 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"D11" "A6" 2100 0.1326 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"E2" "A6" 2100 0.0878 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"E3" "A6" 2100 0.0736 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"E4" "A6" 2100 0.0667 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"E5" "A6" 2100 0.1211 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"E6" "A6" 2100 0.1166 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"E7" "A6" 2100 0.0932 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"E8" "A6" 2100 0.1235 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"E9" "A6" 2100 0.1437 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"E10" "A6" 2100 0.1615 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"E11" "A6" 2100 0.1327 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"F2" "A6" 2100 0.0944 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"F3" "A6" 2100 0.0699 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"F4" "A6" 2100 0.0834 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"F5" "A6" 2100 0.0596 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"F6" "A6" 2100 0.1128 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"F7" "A6" 2100 0.1537 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"F8" "A6" 2100 0.1278 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"F9" "A6" 2100 0.0821 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"F10" "A6" 2100 0.0974 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"F11" "A6" 2100 0.0564 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"G2" "A6" 2100 0.1242 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"G3" "A6" 2100 0.0944 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"G4" "A6" 2100 0.067 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"G5" "A6" 2100 0.0905 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"G6" "A6" 2100 0.0948 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"G7" "A6" 2100 0.0717 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"G8" "A6" 2100 0.0733 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"G9" "A6" 2100 0.1372 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"G10" "A6" 2100 0.152 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"G11" "A6" 2100 0.1506 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"B2" "A6" 2160 0.0213 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"B3" "A6" 2160 0.0744 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"B4" "A6" 2160 0.0129 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"B5" "A6" 2160 0.0297 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"B6" "A6" 2160 0.084 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"B7" "A6" 2160 0.1232 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"B8" "A6" 2160 0.0234 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"B9" "A6" 2160 0.0787 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"B10" "A6" 2160 0.0315 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"B11" "A6" 2160 0.0987 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"C2" "A6" 2160 0.0534 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"C3" "A6" 2160 0.0775 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"C4" "A6" 2160 0.0745 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"C5" "A6" 2160 0.1023 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"C6" "A6" 2160 0.0973 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"C7" "A6" 2160 0.1336 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"C8" "A6" 2160 0.0495 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"C9" "A6" 2160 0.0974 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"C10" "A6" 2160 0.0951 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"C11" "A6" 2160 0.1301 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"D2" "A6" 2160 0.0656 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"D3" "A6" 2160 0.0601 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"D4" "A6" 2160 0.0937 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"D5" "A6" 2160 0.089 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"D6" "A6" 2160 0.0903 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"D7" "A6" 2160 0.1229 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"D8" "A6" 2160 0.1317 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"D9" "A6" 2160 0.1559 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"D10" "A6" 2160 0.0979 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"D11" "A6" 2160 0.1328 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"E2" "A6" 2160 0.0879 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"E3" "A6" 2160 0.073 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"E4" "A6" 2160 0.0676 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"E5" "A6" 2160 0.1216 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"E6" "A6" 2160 0.117 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"E7" "A6" 2160 0.093 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"E8" "A6" 2160 0.1234 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"E9" "A6" 2160 0.1438 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"E10" "A6" 2160 0.162 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"E11" "A6" 2160 0.1334 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"F2" "A6" 2160 0.0935 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"F3" "A6" 2160 0.0694 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"F4" "A6" 2160 0.0828 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"F5" "A6" 2160 0.0587 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"F6" "A6" 2160 0.1126 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"F7" "A6" 2160 0.1542 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"F8" "A6" 2160 0.1279 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"F9" "A6" 2160 0.0814 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"F10" "A6" 2160 0.0965 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"F11" "A6" 2160 0.0562 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"G2" "A6" 2160 0.1241 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"G3" "A6" 2160 0.0943 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"G4" "A6" 2160 0.0673 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"G5" "A6" 2160 0.0905 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"G6" "A6" 2160 0.0951 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"G7" "A6" 2160 0.0715 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"G8" "A6" 2160 0.0736 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"G9" "A6" 2160 0.1371 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"G10" "A6" 2160 0.1521 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"G11" "A6" 2160 0.1513 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"B2" "A6" 2220 0.0211 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"B3" "A6" 2220 0.0745 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
"B4" "A6" 2220 0.0128 "art10KO" "Base SynH+50 mM EMIMCl" "1"
"B5" "A6" 2220 0.0298 "hal5KO" "Base SynH+50 mM EMIMCl" "1"
"B6" "A6" 2220 0.084 "ilt1KO" "Base SynH+50 mM EMIMCl" "1"
"B7" "A6" 2220 0.1232 "ldb19KO" "Base SynH+50 mM EMIMCl" "1"
"B8" "A6" 2220 0.0233 "sat4KO" "Base SynH+50 mM EMIMCl" "1"
"B9" "A6" 2220 0.0787 "trk1KO" "Base SynH+50 mM EMIMCl" "1"
"B10" "A6" 2220 0.0315 "trk2KO" "Base SynH+50 mM EMIMCl" "1"
"B11" "A6" 2220 0.0988 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"C2" "A6" 2220 0.0534 "BY4741" "Base SynH+50 mM EMIMCl" "1"
"C3" "A6" 2220 0.0775 "aly1KO" "Base SynH+50 mM EMIMCl" "1"
